symbol,accruals_avg_4q
EG,-0.019725
EIX,-0.0296
EL,-0.033675
ELV,-0.002525
EME,-0.0134
EMN,-0.010650000000000001
EMR,-0.023075
EOG,-0.069675
EPAM,-0.009225
EQIX,-0.041749999999999995
EQR,-0.029875
EQT,-0.03695
ERIE,-0.008025
ES,-0.0219
ESS,-0.03635
ETN,-0.018875
ETR,-0.0257
EVRG,-0.03345
EW,-0.015375
EXC,-0.020925
EXE,-0.078975
EXPD,-0.0037
EXPE,-0.0388
EXR,-0.02135
F,-0.01455
FANG,-0.03655
FAST,-0.0092
FCX,-0.02205
FDS,-0.023475000000000003
FDX,-0.031475
FE,-0.02815
FFIV,-0.0143
FI,-0.027025
FICO,-0.005224999999999997
FIS,-0.04385
FITB,0.008150000000000001
FOX,-0.017150000000000002
FOXA,-0.017150000000000002
FRT,-0.024825
FSLR,-0.0035499999999999993
FTNT,-0.038775000000000004
FTV,-0.026574999999999998
GD,-0.011175000000000001
GDDY,-0.0206
GE,-0.0037
GEHC,-0.007474999999999999
GEN,-0.0176
GEV,-0.018625
GILD,-0.034575
GIS,-0.0118
GL,-0.011200000000000002
GLW,-0.025724999999999998
GM,-0.0237
GNRC,-0.0223
GOOG,-0.022674999999999997
GOOGL,-0.022674999999999997
GPC,-0.007775
GPN,-0.024124999999999997
GRMN,-0.0017000000000000001
GWW,-0.01145
HAL,-0.026775
HAS,-0.021475
HBAN,-0.0005749999999999991
HCA,-0.0392
HD,-0.02
HIG,-0.0097
HII,-0.026025
HLT,-0.01815
HOLX,-0.024075
HON,-0.02725
HOOD,-0.011275
HPE,-0.02575
HPQ,-0.010825
HRL,-0.00805
HSIC,-0.02775
HST,-0.04805
HSY,-0.01875
HUBB,-0.009675
HUM,0.005675
HWM,-0.00965
IBKR,-0.042425000000000004
IBM,-0.024675000000000002
ICE,-0.00475
IDXX,-0.039650000000000005
IEX,-0.014275
IFF,-0.045375
INCY,-0.0026999999999999975
INTC,-0.0366
INTU,-0.006725
INVH,-0.034825
IP,-0.03912500000000001
IPG,-0.017099999999999997
IQV,-0.031100000000000003
IR,-0.01985
IRM,-0.03255
ISRG,-0.01235
IT,-0.023075
ITW,-0.013999999999999999
IVZ,-0.07925
J,-0.020975
JBHT,-0.064175
JBL,-0.0358
JCI,-0.014349999999999998
JKHY,-0.0476
JNJ,-0.019625
K,-0.023725
KDP,-0.008699999999999998
KEY,0.0016249999999999997
KEYS,-0.008475
KHC,-0.005625
KIM,-0.0168
KKR,-0.011975
KLAC,-0.0195
KMB,-0.030324999999999998
KMI,-0.020175
KO,0.008725
KR,-0.05525
KVUE,-0.0191
L,-0.007175
LDOS,-0.002975
LEN,-0.034824999999999995
LH,-0.006
LHX,-0.014325
LII,-0.0071750000000000026
LIN,-0.03155
LKQ,-0.012425
LLY,0.027950000000000003
LMT,-0.02285
LNT,-0.024425
LOW,-0.03185
LRCX,-0.023925
LULU,-0.034425000000000004
LUV,-0.036074999999999996
LVS,-0.042775
LW,-0.0345
LYB,-0.033424999999999996
LYV,-0.036425
MA,-0.051824999999999996
MAA,-0.0327
MAR,-0.0065
MAS,-0.0033749999999999995
MCD,-0.025875000000000002
MCHP,-0.045149999999999996
MCK,-0.013575
MCO,-0.0149
MDLZ,-0.017374999999999998
MDT,-0.017525
MET,-0.007300000000000001
META,-0.039075
MGM,-0.014775
MHK,-0.026225
MKC,0.004925
MLM,-0.025849999999999998
MMC,-0.012974999999999999
MMM,0.0023249999999999994
MNST,-0.01185
MO,-0.011350000000000002
MOH,0.012525000000000001
MOS,-0.0365
MPC,-0.028025
MPWR,-0.004725
MRK,-0.025425
MRNA,0.006575
MSCI,-0.026325
MSFT,-0.0393
MSI,-0.015125
MTB,-0.0006499999999999995
MTCH,-0.030025000000000003
MTD,-0.023425
MU,-0.06684999999999999
NCLH,-0.037500000000000006
NDAQ,-0.01365
NDSN,-0.01115
NEE,-0.020075
NEM,-0.04795
NFLX,-0.17629999999999998
NI,-0.024399999999999998
NKE,-0.017825
NOC,-0.009925
NOW,-0.046174999999999994
NRG,-0.0597
NSC,-0.020775000000000002
NTAP,-0.018949999999999998
NTRS,-0.023075
NUE,-0.029225
NVDA,0.010275
NVR,0.0005250000000000003
NWS,-0.012775000000000002
NWSA,-0.012775000000000002
NXPI,-0.01705
O,-0.0265
ODFL,-0.046625
OKE,-0.01875
OMC,-0.00685
ON,-0.031225
ORCL,-0.03265
ORLY,-0.023925000000000002
OTIS,-0.008575000000000001
OXY,-0.05925
PANW,-0.030875
PAYC,-0.018375
PAYX,-0.019049999999999997
PCAR,-0.001125000000000008
PCG,-0.022600000000000002
PEG,-0.018175
PEP,-0.022875
PFE,-0.026375
PFG,-0.0044
PG,-0.0134
PGR,-0.0186
PH,-0.0056749999999999995
PHM,-0.0013499999999999996
PKG,-0.04005
PLD,-0.013525
PLTR,-0.01145
PM,-0.010450000000000001
PNC,-0.0014500000000000003
PNR,-0.012450000000000001
PNW,-0.042699999999999995
PODD,-0.009375
POOL,-0.010125000000000002
PPG,-0.012475
PPL,-0.0223
PRU,-0.0067
PSA,-0.043375
PSKY,0.0053
PSX,-0.0207
PTC,-0.018099999999999998
PWR,-0.0238
PYPL,0.01325
QCOM,-0.006225
RCL,-0.031275
REG,-0.019325000000000002
REGN,-0.00845
RF,-0.00795
RJF,0.00185
RL,-0.028050000000000002
RMD,-0.01595
ROK,-0.024925
ROL,-0.030975
ROP,-0.020475
ROST,-0.0195
RSG,-0.026999999999999996
RTX,-0.0124
RVTY,-0.024725
SBAC,-0.018975
SBUX,-0.035475
SCHW,0.005050000000000001
SHW,-0.016275
SJM,-0.045025
SLB,-0.031
SMCI,0.014025000000000003
SNA,-0.0038250000000000003
SNPS,-0.02525
SO,-0.023725000000000003
SOLV,-0.024725
SPG,-0.03115
SPGI,-0.01235
SRE,-0.017875
STE,-0.0411
STLD,-0.0199
STT,-0.025349999999999998
STX,0.0039250000000000005
STZ,-0.0762
SW,0.021625
SWK,-0.02495
SWKS,-0.052525
SYF,-0.00042500000000000003
SYK,-0.014750000000000001
SYY,-0.025550000000000003
T,-0.032525
TAP,-0.014825000000000001
TDG,-0.007924999999999996
TDY,-0.013925
TECH,-0.029425
TEL,-0.013099999999999999
TER,-0.028699999999999996
TFC,-0.0023750000000000004
TGT,-0.030324999999999998
TJX,-0.026425
TKO,-0.026875
TMO,-0.010025000000000001
TMUS,-0.0353
TPL,-0.014374999999999999
TPR,-0.017775
TRGP,-0.037375
TRMB,-0.007474999999999998
TROW,-0.022125
TRV,-0.04095
TSCO,-0.031875
TSLA,-0.0288
TSN,-0.025875000000000002
TT,-0.01305
TTD,-0.014875
TTWO,-0.1466
TXN,-0.019825
TXT,-0.0138
TYL,-0.02095
UAL,-0.026424999999999997
UBER,-0.020999999999999998
UDR,-0.0416
UHS,-0.030525
ULTA,-0.023324999999999995
UNH,-0.014625
UNP,-0.022574999999999998
UPS,-0.032675
URI,-0.06295
USB,0.0028000000000000004
V,-0.0141
VICI,-0.0006999999999999999
VLO,-0.030725
VLTO,-0.008375
VMC,-0.03745
VRSK,-0.048124999999999994
VRSN,-0.02345
VRTX,-0.0025249999999999995
VST,-0.054825
VTR,-0.0305
VTRS,-0.07944999999999999
VZ,-0.030525
WAB,-0.011125
WAT,-0.038
WBD,-0.149725
WDAY,-0.0218
WDC,-0.01775
WEC,-0.021075
WELL,-0.0218
WM,-0.044700000000000004
WMB,-0.033375
WMT,-0.031475
WRB,-0.00835
WSM,-0.019
WST,-0.0254
WTW,-0.011175000000000001
WY,-0.019275
WYNN,-0.0339
XEL,-0.032425
XOM,-0.030375
XYL,-0.025575
XYZ,-0.03075
YUM,-0.024925
ZBH,-0.03285
ZBRA,-0.020125
ZTS,-0.027825
