ticker,Accruals_dolt,Accruals_est,Accruals
SOLV,-0.024725,,-0.024725
SPG,-0.03115,,-0.03115
SPGI,-0.01235,,-0.01235
SRE,-0.017875,,-0.017875
STE,-0.0411,,-0.0411
STLD,-0.0199,,-0.0199
STT,-0.0253499999999999,,-0.0253499999999999
STX,0.003925,,0.003925
STZ,-0.0762,,-0.0762
SW,0.021625,,0.021625
SWK,-0.02495,,-0.02495
SWKS,-0.052525,,-0.052525
SYF,-0.000425,,-0.000425
SYK,-0.01475,,-0.01475
SYY,-0.02555,,-0.02555
T,-0.032525,,-0.032525
TAP,-0.014825,,-0.014825
TDG,-0.0079249999999999,,-0.0079249999999999
TDY,-0.013925,,-0.013925
TEAM,,,
TECH,-0.029425,,-0.029425
TEL,-0.0130999999999999,,-0.0130999999999999
TER,-0.0286999999999999,,-0.0286999999999999
TFC,-0.002375,,-0.002375
TGT,-0.0303249999999999,,-0.0303249999999999
TJX,-0.026425,,-0.026425
TKO,-0.026875,,-0.026875
TMO,-0.010025,,-0.010025
TMUS,-0.0353,,-0.0353
TPL,-0.0143749999999999,,-0.0143749999999999
TPR,-0.017775,,-0.017775
TRGP,-0.037375,,-0.037375
TRI,,,
TRMB,-0.0074749999999999,,-0.0074749999999999
TROW,-0.022125,,-0.022125
TRV,-0.04095,,-0.04095
TSCO,-0.031875,,-0.031875
TSLA,-0.0288,,-0.0288
TSN,-0.025875,,-0.025875
TT,-0.01305,,-0.01305
TTD,-0.014875,,-0.014875
TTWO,-0.1466,,-0.1466
TXN,-0.019825,,-0.019825
TXT,-0.0138,,-0.0138
TYL,-0.02095,,-0.02095
UAL,-0.0264249999999999,,-0.0264249999999999
UBER,-0.0209999999999999,,-0.0209999999999999
UDR,-0.0416,,-0.0416
UHS,-0.030525,,-0.030525
ULTA,-0.0233249999999999,,-0.0233249999999999
UNH,-0.014625,,-0.014625
UNP,-0.0225749999999999,,-0.0225749999999999
UPS,-0.032675,,-0.032675
URI,-0.06295,,-0.06295
USB,0.0028,,0.0028
V,-0.0141,,-0.0141
VICI,-0.0006999999999999,,-0.0006999999999999
VLO,-0.030725,,-0.030725
VLTO,-0.008375,,-0.008375
VMC,-0.03745,,-0.03745
VRSK,-0.0481249999999999,,-0.0481249999999999
VRSN,-0.02345,,-0.02345
VRTX,-0.0025249999999999,,-0.0025249999999999
VST,-0.054825,,-0.054825
VTR,-0.0305,,-0.0305
VTRS,-0.0794499999999999,,-0.0794499999999999
VZ,-0.030525,,-0.030525
WAB,-0.011125,,-0.011125
WAT,-0.038,,-0.038
WBD,-0.149725,,-0.149725
WDAY,-0.0218,,-0.0218
WDC,-0.01775,,-0.01775
WEC,-0.021075,,-0.021075
WELL,-0.0218,,-0.0218
WFC,,,
WM,-0.0447,,-0.0447
WMB,-0.033375,,-0.033375
WMT,-0.031475,,-0.031475
WRB,-0.00835,,-0.00835
WSM,-0.019,,-0.019
WST,-0.0254,,-0.0254
WTW,-0.011175,,-0.011175
WY,-0.019275,,-0.019275
WYNN,-0.0339,,-0.0339
XEL,-0.032425,,-0.032425
XOM,-0.030375,,-0.030375
XYL,-0.025575,,-0.025575
XYZ,-0.03075,,-0.03075
YUM,-0.024925,,-0.024925
ZBH,-0.03285,,-0.03285
ZBRA,-0.020125,,-0.020125
ZS,,,
ZTS,-0.027825,,-0.027825
